Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
C_E_U,C_E_U,Nixtla_AutoETS,453167.29,12.77,2017-08,4437346.35
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2016-09,2067354.42
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2016-10,1559852.15
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2016-11,1670771.25
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2016-12,2414027.43
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-01,1466818.66
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-02,1570875.5
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-03,1940949.12
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-04,1441770.87
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-05,1239630.13
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-06,1687358.58
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-07,1315192.19
C_I_G,C_I_G,Nixtla_AutoETS,71840.76,2.4,2017-08,1483143.79
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2016-09,1176198.05
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2016-10,972791.78
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2016-11,1247160.66
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2016-12,3067954.33
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-01,1399311.55
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-02,1178427.39
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-03,1292545.51
C_J_Z,C_J_Z,"ETS(M,A,M)",326780.3,21.45,2017-04,973517.93
